GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0000172	ribonuclease MRP complex	核糖核酸酶MRP复合体
GO:0000175	3'-5'-RNA exonuclease activity	3'-5'-RNA外切核酸酶活性
GO:0000176	nuclear exosome (RNase complex)	细胞核外切体(RNase复合体)
GO:0000177	cytoplasmic exosome (RNase complex)	细胞质外切体(RNase复合体)
GO:0000178	exosome (RNase complex)	外切体(RNase复合体)
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	rRNA(腺嘌呤-N6,N6-)二甲基转移酶活性
GO:0000182	rDNA binding	rDNA结合
GO:0000183	rDNA heterochromatin formation	rDNA异染色质形成
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	核转录mRNA分解代谢过程,无义介导的衰减
GO:0000196	cell integrity MAPK cascade	细胞完整性MAPK级联
GO:0000209	protein polyubiquitination	蛋白质多泛素化
GO:0000210	NAD+ diphosphatase activity	NAD+二磷酸酶活性
GO:0000212	meiotic spindle organization	减数分裂纺锤体组织
GO:0000213	tRNA-intron lyase activity	tRNA内含子裂解酶活性
GO:0000214	tRNA-intron endonuclease complex	tRNA内含子内切核酸酶复合体
GO:0000215	tRNA 2'-phosphotransferase activity	tRNA 2'-磷酸转移酶活性
GO:0000217	DNA secondary structure binding	DNA二级结构结合
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	液泡质子转运V型ATP酶,V0结构域
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	液泡质子转运V型ATP酶,V1结构域
GO:0000222	plasma membrane proton-transporting V-type ATPase, V0 domain	质膜质子转运V型ATP酶,V0结构域
GO:0000223	plasma membrane proton-transporting V-type ATPase, V1 domain	质膜质子转运V型ATP酶,V1结构域
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	肽-N4-(N-乙酰-β-氨基葡萄糖基)天冬酰胺酰胺酶活性
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	N-乙酰氨基葡萄糖基磷脂酰肌醇脱乙酰酶活性
GO:0000226	microtubule cytoskeleton organization	微管细胞骨架组织
GO:0000228	nuclear chromosome	细胞核染色体
GO:0000234	phosphoethanolamine N-methyltransferase activity	磷酸乙醇胺N-甲基转移酶活性
GO:0000235	astral microtubule	星体微管
GO:0000236	mitotic prometaphase	有丝分裂前中期
GO:0000237	leptotene	细线期
GO:0000238	zygotene	偶线期
GO:0000239	pachytene	粗线期
GO:0000240	diplotene	双线期
GO:0000241	diakinesis	终变期
GO:0000242	pericentriolar material	中心粒周围物质
GO:0000243	commitment complex	定向复合体
GO:0000244	spliceosomal tri-snRNP complex assembly	剪接体tri-snRNP复合体组装
GO:0000245	spliceosomal complex assembly	剪接体复合体组装
GO:0000246	Delta24(24-1) sterol reductase activity	Δ24(24-1)甾醇还原酶活性
GO:0000247	C-8 sterol isomerase activity	C-8甾醇异构酶活性
GO:0000248	C-5 sterol desaturase activity	C-5甾醇去饱和酶活性
GO:0000249	C-22 sterol desaturase (NADPH) activity	C-22甾醇去饱和酶(NADPH)活性
GO:0000250	lanosterol synthase activity	羊毛甾醇合酶活性
GO:0000252	3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity	3-β-羟基类固醇脱氢酶[NAD(P)+]/C4-脱羧酶活性
GO:0000253	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity	3-β-羟基类固醇3-脱氢酶(NADP+)活性
GO:0000254	C-4 methylsterol oxidase activity	C-4甲基甾醇氧化酶活性
GO:0000255	allantoin metabolic process	尿囊素代谢过程
GO:0000256	allantoin catabolic process	尿囊素分解代谢过程
GO:0000257	nitrilase activity	腈水解酶活性
GO:0000262	mitochondrial chromosome	线粒体染色体
GO:0000266	mitochondrial fission	线粒体分裂
GO:0000268	peroxisome signal sequence receptor activity	过氧化物酶体信号序列受体活性
GO:0000269	toxin export channel activity	毒素输出通道活性
GO:0000270	peptidoglycan metabolic process	肽聚糖代谢过程
GO:0000271	polysaccharide biosynthetic process	多糖生物合成过程
GO:0000272	polysaccharide catabolic process	多糖分解代谢过程
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	[细胞色素c]-赖氨酸N-甲基转移酶活性
GO:0000278	mitotic cell cycle	有丝分裂细胞周期
GO:0000279	M phase	M期
GO:0000280	nuclear division	细胞核分裂
GO:0000281	mitotic cytokinesis	有丝分裂胞质分裂
GO:0000282	cellular bud site selection	细胞芽部位选择
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	1-磷脂酰肌醇-3-磷酸5-激酶活性
GO:0000286	L-alanine dehydrogenase (NAD+) activity	L-丙氨酸脱氢酶(NAD+)活性
GO:0000287	magnesium ion binding	镁离子结合
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	核转录mRNA分解代谢过程,去腺苷酸化依赖的衰减
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	核转录mRNA poly(A)尾缩短
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	核转录mRNA的去腺苷酸化依赖性脱帽
GO:0000292	RNA fragment catabolic process	RNA片段分解代谢过程
GO:0000293	ferric-chelate reductase activity	铁螯合物还原酶活性
GO:0000294	nuclear-transcribed mRNA catabolic process, RNase MRP-dependent	核转录mRNA分解代谢过程,RNase MRP依赖
GO:0000295	adenine nucleotide transmembrane transporter activity	腺嘌呤核苷酸跨膜转运体活性
GO:0000296	spermine transport	精胺转运
GO:0000297	spermine transmembrane transporter activity	精胺跨膜转运体活性
GO:0000298	endopolyphosphatase activity	内切多磷酸酶活性
GO:0000301	retrograde transport, vesicle recycling within Golgi	逆行运输,高尔基体内囊泡再循环
GO:0000302	response to reactive oxygen species	对活性氧的响应
GO:0000303	response to superoxide	对超氧化物的响应
GO:0000304	response to singlet oxygen	对单线态氧的响应
GO:0000305	response to oxygen radical	对氧自由基的响应
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	周期蛋白依赖性蛋白激酶全酶复合体
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	细胞质周期蛋白依赖性蛋白激酶全酶复合体
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	烟酰胺核苷酸腺苷酰转移酶活性
GO:0000310	xanthine phosphoribosyltransferase activity	黄嘌呤磷酸核糖基转移酶活性
GO:0000311	plastid large ribosomal subunit	质体核糖体大亚基
GO:0000312	plastid small ribosomal subunit	质体核糖体小亚基
GO:0000313	organellar ribosome	细胞器核糖体
GO:0000314	organellar small ribosomal subunit	细胞器核糖体小亚基
GO:0000315	organellar large ribosomal subunit	细胞器核糖体大亚基
GO:0000316	sulfite transmembrane transport	亚硫酸盐跨膜转运
GO:0000319	sulfite transmembrane transporter activity	亚硫酸盐跨膜转运体活性
GO:0000320	re-entry into mitotic cell cycle	重新进入有丝分裂细胞周期
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest	信息素阻滞后重新进入有丝分裂细胞周期
GO:0000322	storage vacuole	储存液泡
GO:0000323	lytic vacuole	裂解液泡
GO:0000324	fungal-type vacuole	真菌型液泡
GO:0000325	plant-type vacuole	植物型液泡
GO:0000326	protein storage vacuole	蛋白质储存液泡
GO:0000327	lytic vacuole within protein storage vacuole	蛋白质储存液泡内的裂解液泡
GO:0000328	fungal-type vacuole lumen	真菌型液泡腔
GO:0000329	fungal-type vacuole membrane	真菌型液泡膜
GO:0000330	plant-type vacuole lumen	植物型液泡腔
GO:0000331	contractile vacuole	收缩液泡
GO:0000332	template for synthesis of G-rich strand of telomere DNA activity	端粒DNA富G链合成模板活性
GO:0000333	telomerase catalytic core complex	端粒酶催化核心复合体
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	3-羟基邻氨基苯甲酸3,4-双加氧酶活性
GO:0000338	protein deneddylation	蛋白质去NEDD8修饰
GO:0000339	RNA cap binding	RNA帽子结合
GO:0000340	RNA 7-methylguanosine cap binding	RNA 7-甲基鸟苷帽结合
GO:0000341	RNA trimethylguanosine cap binding	RNA三甲基鸟苷帽结合
GO:0000342	RNA cap 4 binding	RNA帽4结合
GO:0000343	plastid-encoded plastid RNA polymerase complex A	质体编码的质体RNA聚合酶复合体A
GO:0000344	plastid-encoded plastid RNA polymerase complex B	质体编码的质体RNA聚合酶复合体B
GO:0000345	cytosolic DNA-directed RNA polymerase complex	细胞质DNA指导的RNA聚合酶复合体
GO:0000346	transcription export complex	转录输出复合体
GO:0000347	THO complex	THO复合体
GO:0000348	mRNA branch site recognition	mRNA分支位点识别
GO:0000349	generation of catalytic spliceosome for first transesterification step	第一步转酯反应催化性剪接体的形成
GO:0000350	generation of catalytic spliceosome for second transesterification step	第二步转酯反应催化性剪接体的形成
GO:0000352	trans assembly of SL-containing precatalytic spliceosome	含SL前催化剪接体的反式组装
GO:0000353	formation of quadruple SL/U4/U5/U6 snRNP	四重SL/U4/U5/U6 snRNP的形成
GO:0000354	cis assembly of pre-catalytic spliceosome	前催化剪接体的顺式组装
GO:0000365	mRNA trans splicing, via spliceosome	经剪接体的mRNA反式剪接
GO:0000366	mRNA alternative trans-splicing	mRNA可变反式剪接
GO:0000372	Group I intron splicing	I组内含子剪接
GO:0000373	Group II intron splicing	II组内含子剪接
GO:0000374	Group III intron splicing	III组内含子剪接
GO:0000375	RNA splicing, via transesterification reactions	经转酯反应的RNA剪接
GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile	以鸟苷为亲核体的转酯反应RNA剪接
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	以凸出腺苷为亲核体的转酯反应RNA剪接
GO:0000378	RNA exon ligation	RNA外显子连接
GO:0000379	tRNA-type intron splice site recognition and cleavage	tRNA型内含子剪接位点识别与切割
GO:0000380	alternative mRNA splicing, via spliceosome	经剪接体的mRNA可变剪接
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	经剪接体的mRNA可变剪接的调控
GO:0000384	first spliceosomal transesterification activity	剪接体第一步转酯反应活性
GO:0000386	second spliceosomal transesterification activity	剪接体第二步转酯反应活性
GO:0000387	spliceosomal snRNP assembly	剪接体snRNP组装
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	剪接体构象变化以释放U4(或U4atac)和U1(或U11)
GO:0000389	mRNA 3'-splice site recognition	mRNA 3'剪接位点识别
GO:0000390	spliceosomal complex disassembly	剪接体复合体解体
GO:0000393	spliceosomal conformational changes to generate catalytic conformation	产生催化构象的剪接体构象变化
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	经内切核酸酶切割与连接的RNA剪接
GO:0000395	mRNA 5'-splice site recognition	mRNA 5'剪接位点识别
GO:0000398	mRNA splicing, via spliceosome	经剪接体的mRNA剪接
GO:0000399	cellular bud neck septin structure	细胞芽颈隔蛋白结构
GO:0000400	four-way junction DNA binding	四向连接DNA结合
GO:0000401	open form four-way junction DNA binding	开放型四向连接DNA结合
GO:0000402	crossed form four-way junction DNA binding	交叉型四向连接DNA结合
GO:0000403	Y-form DNA binding	Y形DNA结合
GO:0000404	heteroduplex DNA loop binding	异源双链DNA环结合
GO:0000405	bubble DNA binding	泡状DNA结合
GO:0000406	double-strand/single-strand DNA junction binding	双链/单链DNA连接处结合
GO:0000407	phagophore assembly site	吞噬泡组装位点
GO:0000408	EKC/KEOPS complex	EKC/KEOPS复合体
GO:0000409	regulation of transcription by galactose	半乳糖对转录的调控
GO:0000410	carbon catabolite repression of transcription by galactose	半乳糖对转录的碳分解代谢物阻遏
GO:0000411	positive regulation of transcription by galactose	半乳糖对转录的正调控
GO:0000413	protein peptidyl-prolyl isomerization	蛋白质肽酰脯氨酰异构化
GO:0000417	HIR complex	HIR复合体
GO:0000418	RNA polymerase IV complex	RNA聚合酶IV复合体
GO:0000419	RNA polymerase V complex	RNA聚合酶V复合体
GO:0000421	autophagosome membrane	自噬体膜
GO:0000422	autophagy of mitochondrion	线粒体自噬
GO:0000423	mitophagy	线粒体自噬
GO:0000424	micromitophagy	微线粒体自噬
GO:0000425	pexophagy	过氧化物酶体自噬
GO:0000426	micropexophagy	微过氧化物酶体自噬
GO:0000427	plastid-encoded plastid RNA polymerase complex	质体编码的质体RNA聚合酶复合体
GO:0000428	DNA-directed RNA polymerase complex	DNA指导的RNA聚合酶复合体
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter	RNA聚合酶II启动子转录的碳分解代谢物调控
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose	葡萄糖对RNA聚合酶II启动子转录的调控
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose	半乳糖对RNA聚合酶II启动子转录的调控
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	葡萄糖对RNA聚合酶II启动子转录的正调控
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	半乳糖对RNA聚合酶II启动子转录的正调控
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	RNA聚合酶II启动子转录的碳分解代谢物激活
GO:0000438	core TFIIH complex portion of holo TFIIH complex	全TFIIH复合体中的核心TFIIH复合体部分
GO:0000439	transcription factor TFIIH core complex	转录因子TFIIH核心复合体
GO:0000440	core TFIIH complex portion of NEF3 complex	NEF3复合体中的核心TFIIH复合体部分
GO:0000444	MIS12/MIND type complex	MIS12/MIND型复合体
GO:0000445	THO complex part of transcription export complex	转录输出复合体中的THO复合体部分
GO:0000446	nucleoplasmic THO complex	核质THO复合体
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ITS1中内切核酸酶切割以使SSU-rRNA与5.8S rRNA和LSU-rRNA从三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)中分离
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)中ITS2内5.8S rRNA与LSU-rRNA之间的切割
GO:0000449	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	三顺反子rRNA转录本(SSU-rRNA, LSU-rRNA, 5S)的内切核酸酶切割
GO:0000450	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)	双顺反子rRNA转录本(SSU-rRNA, LSU-rRNA)的切割
GO:0000451	rRNA 2'-O-methylation	rRNA 2'-O-甲基化
GO:0000452	snoRNA guided rRNA 2'-O-methylation	snoRNA引导的rRNA 2'-O-甲基化
GO:0000454	snoRNA guided rRNA pseudouridine synthesis	snoRNA引导的rRNA假尿苷合成
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	酶引导的rRNA假尿苷合成
GO:0000457	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	三顺反子rRNA转录本(SSU-rRNA, LSU-rRNA, 5S)中SSU-rRNA与LSU-rRNA之间的内切核酸酶切割
GO:0000458	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	三顺反子rRNA转录本(SSU-rRNA, LSU-rRNA, 5S)中LSU-rRNA与5S rRNA之间的内切核酸酶切割
GO:0000460	maturation of 5.8S rRNA	5.8S rRNA成熟
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	内切核酸酶切割以从(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成SSU-rRNA成熟3'端
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的SSU-rRNA成熟
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的LSU-rRNA成熟
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)中ITS1内5.8S rRNA上游的内切核酸酶切割
GO:0000465	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	外切核酸酶修剪以从三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成5.8S rRNA成熟5'端
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的5.8S rRNA成熟
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	外切核酸酶修剪以从三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成5.8S rRNA成熟3'端
GO:0000468	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	从三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成LSU-rRNA成熟3'端
GO:0000470	maturation of LSU-rRNA	LSU-rRNA成熟
GO:0000471	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的3'-ETS内切核酸酶切割
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	内切核酸酶切割以从(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成SSU-rRNA成熟5'端
GO:0000473	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)的LSU-rRNA成熟
GO:0000474	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)的SSU-rRNA成熟
GO:0000475	maturation of 2S rRNA	2S rRNA成熟
GO:0000476	maturation of 4.5S rRNA	4.5S rRNA成熟
GO:0000477	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	从三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)生成LSU-rRNA成熟5'端
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的内切核酸酶切割
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	三顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的5'-ETS内切核酸酶切割
GO:0000481	maturation of 5S rRNA	5S rRNA成熟
GO:0000482	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, LSU-rRNA)的5S rRNA成熟
GO:0000483	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)的内切核酸酶切割
GO:0000484	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)中SSU-rRNA与5.8S rRNA之间的切割
