## Tue Sep  1 17:16:42 2026
## emapper-2.1.13
## /opt/venv/bin/emapper.py -i input.fasta -o query --output_dir output --temp_dir output --data_dir /data --cpu 10 --override --itype proteins -m diamond --dmnd_iterate no
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000100.1	3847.GLYMA15G43289.1	1.15e-45	164.0	COG0147@1|root,COG0596@1|root,KOG1223@2759|Eukaryota,KOG2382@2759|Eukaryota,37RRC@33090|Viridiplantae,3GENA@35493|Streptophyta,4JEFI@91835|fabids	35493|Streptophyta	E	Protein PHYLLO, chloroplastic-like	-	GO:0006732,GO:0006766,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0010109,GO:0019222,GO:0031323,GO:0042180,GO:0042181,GO:0042372,GO:0042374,GO:0042548,GO:0042550,GO:0043467,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0050789,GO:0050794,GO:0051186,GO:0051188,GO:0065007,GO:0071704,GO:1901576,GO:1901661,GO:1901663	2.2.1.9,4.2.1.113,4.2.99.20,5.4.4.2	ko:K14759	ko00130,ko01100,ko01110,map00130,map01100,map01110	-	R01717,R04031,R08165,R08166	RC00588,RC01053,RC02148,RC02186,RC02475	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_6,MR_MLE_C,TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001300.2	3847.GLYMA01G00410.3	9.18e-214	596.0	28IB5@1|root,2QR9Y@2759|Eukaryota,37M3Q@33090|Viridiplantae,3G85U@35493|Streptophyta,4JEWI@91835|fabids	35493|Streptophyta	U	Chloroplast envelope membrane	-	-	-	-	-	-	-	-	-	-	-	-	CemA
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001300.3	3847.GLYMA01G00410.3	1.07e-240	666.0	28IB5@1|root,2QR9Y@2759|Eukaryota,37M3Q@33090|Viridiplantae,3G85U@35493|Streptophyta,4JEWI@91835|fabids	35493|Streptophyta	U	Chloroplast envelope membrane	-	-	-	-	-	-	-	-	-	-	-	-	CemA
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001300.4	3847.GLYMA01G00410.3	4.36e-155	444.0	28IB5@1|root,2QR9Y@2759|Eukaryota,37M3Q@33090|Viridiplantae,3G85U@35493|Streptophyta,4JEWI@91835|fabids	35493|Streptophyta	U	Chloroplast envelope membrane	-	-	-	-	-	-	-	-	-	-	-	-	CemA
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001500.1	3847.GLYMA01G00420.1	0.0	1553.0	2C3ZN@1|root,2QYZE@2759|Eukaryota,37QUR@33090|Viridiplantae,3GFCR@35493|Streptophyta,4JH0B@91835|fabids	35493|Streptophyta	S	Microtubule-associated protein	-	-	-	-	-	-	-	-	-	-	-	-	Cohesin_HEAT,HEAT
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001500.2	3847.GLYMA01G00420.1	0.0	1434.0	2C3ZN@1|root,2QYZE@2759|Eukaryota,37QUR@33090|Viridiplantae,3GFCR@35493|Streptophyta,4JH0B@91835|fabids	35493|Streptophyta	S	Microtubule-associated protein	-	-	-	-	-	-	-	-	-	-	-	-	Cohesin_HEAT,HEAT
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001600.1	3847.GLYMA01G00430.1	0.0	1611.0	COG1657@1|root,KOG0497@2759|Eukaryota,37PVR@33090|Viridiplantae,3GAI1@35493|Streptophyta,4JD6K@91835|fabids	35493|Streptophyta	I	Belongs to the terpene cyclase mutase family	CAS1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006629,GO:0006720,GO:0006721,GO:0006722,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009555,GO:0009657,GO:0009668,GO:0009987,GO:0010027,GO:0010685,GO:0010686,GO:0016043,GO:0016104,GO:0016114,GO:0016853,GO:0016866,GO:0016871,GO:0019742,GO:0019745,GO:0031559,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0048229,GO:0048856,GO:0061024,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901576	5.4.99.33,5.4.99.8	ko:K01853,ko:K15812	ko00100,ko00909,ko01100,ko01110,map00100,map00909,map01100,map01110	-	R03200,R09688	RC01582,RC02603	ko00000,ko00001,ko01000	-	-	-	Prenyltrans,SQHop_cyclase_C,SQHop_cyclase_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001600.2	3847.GLYMA01G00430.1	0.0	1611.0	COG1657@1|root,KOG0497@2759|Eukaryota,37PVR@33090|Viridiplantae,3GAI1@35493|Streptophyta,4JD6K@91835|fabids	35493|Streptophyta	I	Belongs to the terpene cyclase mutase family	CAS1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006629,GO:0006720,GO:0006721,GO:0006722,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009555,GO:0009657,GO:0009668,GO:0009987,GO:0010027,GO:0010685,GO:0010686,GO:0016043,GO:0016104,GO:0016114,GO:0016853,GO:0016866,GO:0016871,GO:0019742,GO:0019745,GO:0031559,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0048229,GO:0048856,GO:0061024,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901576	5.4.99.33,5.4.99.8	ko:K01853,ko:K15812	ko00100,ko00909,ko01100,ko01110,map00100,map00909,map01100,map01110	-	R03200,R09688	RC01582,RC02603	ko00000,ko00001,ko01000	-	-	-	Prenyltrans,SQHop_cyclase_C,SQHop_cyclase_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001600.3	3847.GLYMA01G00430.1	0.0	1426.0	COG1657@1|root,KOG0497@2759|Eukaryota,37PVR@33090|Viridiplantae,3GAI1@35493|Streptophyta,4JD6K@91835|fabids	35493|Streptophyta	I	Belongs to the terpene cyclase mutase family	CAS1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006629,GO:0006720,GO:0006721,GO:0006722,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009555,GO:0009657,GO:0009668,GO:0009987,GO:0010027,GO:0010685,GO:0010686,GO:0016043,GO:0016104,GO:0016114,GO:0016853,GO:0016866,GO:0016871,GO:0019742,GO:0019745,GO:0031559,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0048229,GO:0048856,GO:0061024,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901576	5.4.99.33,5.4.99.8	ko:K01853,ko:K15812	ko00100,ko00909,ko01100,ko01110,map00100,map00909,map01100,map01110	-	R03200,R09688	RC01582,RC02603	ko00000,ko00001,ko01000	-	-	-	Prenyltrans,SQHop_cyclase_C,SQHop_cyclase_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001600.4	3847.GLYMA01G00430.1	0.0	1350.0	COG1657@1|root,KOG0497@2759|Eukaryota,37PVR@33090|Viridiplantae,3GAI1@35493|Streptophyta,4JD6K@91835|fabids	35493|Streptophyta	I	Belongs to the terpene cyclase mutase family	CAS1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006629,GO:0006720,GO:0006721,GO:0006722,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009555,GO:0009657,GO:0009668,GO:0009987,GO:0010027,GO:0010685,GO:0010686,GO:0016043,GO:0016104,GO:0016114,GO:0016853,GO:0016866,GO:0016871,GO:0019742,GO:0019745,GO:0031559,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0048229,GO:0048856,GO:0061024,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901576	5.4.99.33,5.4.99.8	ko:K01853,ko:K15812	ko00100,ko00909,ko01100,ko01110,map00100,map00909,map01100,map01110	-	R03200,R09688	RC01582,RC02603	ko00000,ko00001,ko01000	-	-	-	Prenyltrans,SQHop_cyclase_C,SQHop_cyclase_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001900.1	3847.GLYMA01G00450.1	0.0	1613.0	COG1657@1|root,KOG0497@2759|Eukaryota,37PVR@33090|Viridiplantae,3GAI1@35493|Streptophyta,4JRDF@91835|fabids	35493|Streptophyta	I	Belongs to the terpene cyclase mutase family	-	GO:0000250,GO:0003674,GO:0003824,GO:0016853,GO:0016866,GO:0031559	5.4.99.7,5.4.99.8	ko:K01852,ko:K01853	ko00100,ko01100,ko01110,ko01130,map00100,map01100,map01110,map01130	M00101	R03199,R03200	RC00874,RC01582	ko00000,ko00001,ko00002,ko01000	-	-	-	Prenyltrans,SQHop_cyclase_C,SQHop_cyclase_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002000.1	3847.GLYMA01G00460.1	0.0	1814.0	KOG1539@1|root,KOG1539@2759|Eukaryota,37NED@33090|Viridiplantae,3GE6W@35493|Streptophyta,4JD22@91835|fabids	35493|Streptophyta	S	U3 small nucleolar RNA-associated protein	-	-	-	ko:K14554	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	ANAPC4_WD40,Utp21,WD40
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002000.3	3847.GLYMA01G00460.1	0.0	1598.0	KOG1539@1|root,KOG1539@2759|Eukaryota,37NED@33090|Viridiplantae,3GE6W@35493|Streptophyta,4JD22@91835|fabids	35493|Streptophyta	S	U3 small nucleolar RNA-associated protein	-	-	-	ko:K14554	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	ANAPC4_WD40,Utp21,WD40
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002000.2	3847.GLYMA01G00460.1	0.0	1824.0	KOG1539@1|root,KOG1539@2759|Eukaryota,37NED@33090|Viridiplantae,3GE6W@35493|Streptophyta,4JD22@91835|fabids	35493|Streptophyta	S	U3 small nucleolar RNA-associated protein	-	-	-	ko:K14554	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	ANAPC4_WD40,Utp21,WD40
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002000.4	3847.GLYMA01G00460.1	0.0	1759.0	KOG1539@1|root,KOG1539@2759|Eukaryota,37NED@33090|Viridiplantae,3GE6W@35493|Streptophyta,4JD22@91835|fabids	35493|Streptophyta	S	U3 small nucleolar RNA-associated protein	-	-	-	ko:K14554	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	ANAPC4_WD40,Utp21,WD40
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002100.1	3847.GLYMA01G00470.1	2.51e-238	656.0	2CEZ7@1|root,2QV2J@2759|Eukaryota,37MJH@33090|Viridiplantae,3GB24@35493|Streptophyta,4JM2W@91835|fabids	35493|Streptophyta	S	3-phosphoinositide-dependent protein kinase-1	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005777,GO:0006810,GO:0008150,GO:0031974,GO:0031981,GO:0042579,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043574,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070013	-	-	-	-	-	-	-	-	-	-	-
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002100.2	3847.GLYMA01G00470.1	2.17e-221	612.0	2CEZ7@1|root,2QV2J@2759|Eukaryota,37MJH@33090|Viridiplantae,3GB24@35493|Streptophyta,4JM2W@91835|fabids	35493|Streptophyta	S	3-phosphoinositide-dependent protein kinase-1	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005777,GO:0006810,GO:0008150,GO:0031974,GO:0031981,GO:0042579,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043574,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070013	-	-	-	-	-	-	-	-	-	-	-
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002100.3	3847.GLYMA01G00470.1	1.4e-169	481.0	2CEZ7@1|root,2QV2J@2759|Eukaryota,37MJH@33090|Viridiplantae,3GB24@35493|Streptophyta,4JM2W@91835|fabids	35493|Streptophyta	S	3-phosphoinositide-dependent protein kinase-1	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005777,GO:0006810,GO:0008150,GO:0031974,GO:0031981,GO:0042579,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043574,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070013	-	-	-	-	-	-	-	-	-	-	-
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002200.1	3847.GLYMA01G00481.1	0.0	1026.0	2CN91@1|root,2QUJJ@2759|Eukaryota,37KP0@33090|Viridiplantae,3G9UA@35493|Streptophyta,4JHHC@91835|fabids	35493|Streptophyta	T	LRR receptor-like serine threonine-protein kinase	PRK1	GO:0000003,GO:0000902,GO:0000904,GO:0001558,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009846,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0010769,GO:0016020,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016324,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0022414,GO:0022603,GO:0022604,GO:0030154,GO:0032501,GO:0032502,GO:0032989,GO:0036211,GO:0040007,GO:0040008,GO:0042995,GO:0043170,GO:0043412,GO:0043900,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0044706,GO:0045177,GO:0045595,GO:0048468,GO:0048588,GO:0048589,GO:0048638,GO:0048856,GO:0048868,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0051510,GO:0051704,GO:0060284,GO:0060560,GO:0065007,GO:0071704,GO:0071840,GO:0071944,GO:0080092,GO:0090406,GO:0098590,GO:0120025,GO:0140096,GO:1901564,GO:2000241	2.7.11.1	ko:K04730	ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169	M00686	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	LRRNT_2,LRR_1,LRR_8,Pkinase,Pkinase_Tyr
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002200.2	3847.GLYMA01G00481.1	0.0	966.0	2CN91@1|root,2QUJJ@2759|Eukaryota,37KP0@33090|Viridiplantae,3G9UA@35493|Streptophyta,4JHHC@91835|fabids	35493|Streptophyta	T	LRR receptor-like serine threonine-protein kinase	PRK1	GO:0000003,GO:0000902,GO:0000904,GO:0001558,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009846,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0010769,GO:0016020,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016324,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0022414,GO:0022603,GO:0022604,GO:0030154,GO:0032501,GO:0032502,GO:0032989,GO:0036211,GO:0040007,GO:0040008,GO:0042995,GO:0043170,GO:0043412,GO:0043900,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0044706,GO:0045177,GO:0045595,GO:0048468,GO:0048588,GO:0048589,GO:0048638,GO:0048856,GO:0048868,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0051510,GO:0051704,GO:0060284,GO:0060560,GO:0065007,GO:0071704,GO:0071840,GO:0071944,GO:0080092,GO:0090406,GO:0098590,GO:0120025,GO:0140096,GO:1901564,GO:2000241	2.7.11.1	ko:K04730	ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169	M00686	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	LRRNT_2,LRR_1,LRR_8,Pkinase,Pkinase_Tyr
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G002200.3	3847.GLYMA01G00481.1	0.0	881.0	2CN91@1|root,2QUJJ@2759|Eukaryota,37KP0@33090|Viridiplantae,3G9UA@35493|Streptophyta,4JHHC@91835|fabids	35493|Streptophyta	T	LRR receptor-like serine threonine-protein kinase	PRK1	GO:0000003,GO:0000902,GO:0000904,GO:0001558,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009846,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0010769,GO:0016020,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016324,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0022414,GO:0022603,GO:0022604,GO:0030154,GO:0032501,GO:0032502,GO:0032989,GO:0036211,GO:0040007,GO:0040008,GO:0042995,GO:0043170,GO:0043412,GO:0043900,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0044706,GO:0045177,GO:0045595,GO:0048468,GO:0048588,GO:0048589,GO:0048638,GO:0048856,GO:0048868,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0051510,GO:0051704,GO:0060284,GO:0060560,GO:0065007,GO:0071704,GO:0071840,GO:0071944,GO:0080092,GO:0090406,GO:0098590,GO:0120025,GO:0140096,GO:1901564,GO:2000241	2.7.11.1	ko:K04730	ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169	M00686	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	LRRNT_2,LRR_1,LRR_8,Pkinase,Pkinase_Tyr
